Delta_hat,empirical_final_gap,empirical_gap_slope,experiment,final_pair_misordering,frequency_auc,k_on,master_seed,nu_c1_hat,nu_n0_hat,nu_n1_hat,predicted_final_gap,q_c1_hat,q_n0_hat,q_n1_hat,realized_R_exp,realized_p_on,requested_R_exp,requested_p_on,score_auc,slope_relative_error,stage_seed,status
0.004176885278255617,16.52374218899146,0.004096946175610885,controlled_matched_exposure_divergence,0.0,0.45756,400,27001,0.1302982282024644,0.0001306599690721486,0.1302014610198783,16.70754111302247,0.2,0.04003211724352978,0.03994955863808323,0.990859848934482,0.19825,1.0,0.2,1.0,0.01913844822621442,302562997,OK
0.004124275464480457,16.684734183806114,0.004321669578790919,controlled_matched_exposure_divergence,0.0,0.548905,400,27002,0.12925529865425095,8.628928387834309e-05,0.12908172765263093,16.497101857921827,0.2,0.03998358910115878,0.039993246592317226,1.0091148580908784,0.20175,1.0,0.2,1.0,0.047861525257098296,2462093990,OK
0.004134863685459268,17.301019192708708,0.004330913863430018,controlled_matched_exposure_divergence,0.0,0.6827099999999999,400,27003,0.13085389379645732,0.00043580576014140635,0.13077637588140922,16.539454741837073,0.2,0.039977026174708295,0.04002551266586248,1.0365849465108414,0.20725,1.0,0.2,1.0,0.04741393982592055,1898353477,OK
0.00410596644539533,17.372469499089313,0.004324313482057085,controlled_matched_exposure_divergence,0.0,0.7252850000000001,400,27004,0.12948275556780073,-0.00023437085294506136,0.1293693790827961,16.42386578158132,0.2,0.040022209927284225,0.04001224611708483,1.0457238701778169,0.20925,1.0,0.2,1.0,0.05317798856018956,2688936010,OK
0.0041344827478668345,17.632228366739945,0.004452957572410613,controlled_matched_exposure_divergence,0.0,0.7505,400,27005,0.1311400464596239,0.00032002465647349587,0.13101865007753252,16.537930991467338,0.2,0.04002993983533882,0.03998723277909739,1.051949041689415,0.2105,1.0,0.2,1.0,0.07702894024847345,3509332443,OK
0.004237940688688978,17.044857543300136,0.004267018433932208,controlled_matched_exposure_divergence,0.0,0.5291699999999999,400,27006,0.1327965192126046,0.00020405478687792603,0.13264539474813758,16.95176275475591,0.2,0.03998375039099156,0.0399587795765878,1.0042838396285025,0.20075,1.0,0.2,1.0,0.0068612912211909755,3562495584,OK
0.00414708541071762,17.10573833370111,0.004280231830599773,controlled_matched_exposure_divergence,0.0,0.630825,400,27007,0.1305380301463618,0.00016799061466187494,0.1304908881131021,16.58834164287048,0.2,0.04000883647798742,0.040009573170731706,1.0247697470474602,0.205,1.0,0.2,1.0,0.03210602307298832,3496993946,OK
0.00422105882101748,16.15048679568217,0.004016453458549249,controlled_matched_exposure_divergence,0.0,0.32860500000000004,400,27008,0.13077163696181038,4.528910086867217e-05,0.13059614763412855,16.88423528406992,0.2,0.039993587360594794,0.04001981865284974,0.9650325698492326,0.193,1.0,0.2,1.0,0.04847252102943021,1716968725,OK
0.0041830943956172465,17.21216512917722,0.00441989655061024,controlled_matched_exposure_divergence,0.0,0.61771,400,27009,0.1315712974334562,0.00013202044914087965,0.13148965398601384,16.732377582468985,0.2,0.04001528912633564,0.03994187041564792,1.0224929703608288,0.2045,1.0,0.2,1.0,0.05660932615842912,167824760,OK
0.004160741063363168,17.299075930957287,0.004333886238935873,controlled_matched_exposure_divergence,0.0,0.66595,400,27010,0.13126836568096537,0.00024747264550992377,0.1311314705190221,16.64296425345267,0.2,0.03999288188976378,0.04001333333333333,1.0313247710459008,0.20625,1.0,0.2,1.0,0.04161402330400015,2593765198,OK
0.004141875347247321,17.44983601927795,0.00440626049821398,controlled_matched_exposure_divergence,0.0,0.7079449999999999,400,27011,0.1304280134540671,-0.0003982626404537317,0.13031163905496007,16.567501388989285,0.2,0.04000042627091885,0.03988889555822329,1.0418438509950672,0.20825,1.0,0.2,1.0,0.06383223269680696,1347119812,OK
0.004220306572095518,16.93903477882468,0.004178022311021295,controlled_matched_exposure_divergence,0.0,0.518825,400,27012,0.1322086260951148,0.00033871226683223536,0.13212485348135944,16.88122628838207,0.2,0.0400292148889584,0.04006102117061021,1.0028574568633917,0.20075,1.0,0.2,1.0,0.010019239207361086,3596288405,OK
0.0041539644014253795,15.813597023135543,0.003920541067715093,controlled_matched_exposure_divergence,0.0,0.312615,400,27013,0.12835936394838385,-0.0002281888595469378,0.12815061622564922,16.615857605701517,0.2,0.03996912128712871,0.03995013020833333,0.9608293158032025,0.192,1.0,0.2,1.0,0.05619290661956337,2147440321,OK
