T,experiment,final_raw_cumulative,final_signed_cumulative,master_seed,max_n_t,mean_matched_baseline,mean_n_t,mean_raw_w1,mean_signed_increment,min_n_t,n_unique_n_t,raw_cumulative_slope,signed_cumulative_slope,stage_seed,status,std_n_t
4000,controlled_null_centering,180.83442759336273,-0.49687409819251915,27001,890,0.04533282542288877,799.69025,0.04520860689834065,-0.00012421852454812984,703,165,0.04508056608852186,-0.0002609289543000081,4271325630,OK,28.147715331925284
4000,controlled_null_centering,181.15588629328892,-0.1306035989100825,27002,894,0.045321622473049786,800.08675,0.04528897157332227,-3.265089972752072e-05,692,173,0.04548339491653463,0.00016304090532722314,1944431731,OK,28.03870122935721
4000,controlled_null_centering,180.91594125599153,-0.32986747350417184,27003,901,0.045311452182373924,800.42875,0.04522898531399788,-8.24668683760428e-05,693,162,0.045262457747702406,-4.426831501358618e-05,3813874513,OK,27.581735106141643
4000,controlled_null_centering,180.63138359630142,-0.6258550451197284,27004,894,0.04531430966035515,800.31025,0.04515784589907522,-0.0001564637612799325,703,165,0.04507132474834666,-0.0002480376327153356,3215153529,OK,27.416799870996826
4000,controlled_null_centering,180.84031965861055,-0.567420921485259,27005,910,0.04535193514502407,798.96975,0.04521007991465275,-0.00014185523037131456,703,162,0.04516154272104136,-0.00018905036778481225,231520338,OK,27.215262309284117
4000,controlled_null_centering,181.53237738675412,0.285379974265313,27006,890,0.045311749353122155,800.4045,0.04538309434668848,7.134499356632809e-05,712,162,0.0453515405633878,3.5160045100724806e-05,4070040539,OK,27.409910717683626
4000,controlled_null_centering,179.7190272302336,-1.569577724333843,27007,930,0.045322151238641833,800.0705,0.044929756807558376,-0.00039239443108346104,697,173,0.044851371216222076,-0.0004639180236912512,4155617504,OK,28.10784663595964
4000,controlled_null_centering,180.18271985513323,-1.1181044553580581,27008,903,0.045325206077622866,799.95175,0.04504567996378336,-0.0002795261138395143,709,168,0.04519004569446753,-0.00013304002530185806,138286954,OK,28.008347663191515
4000,controlled_null_centering,181.24216965978195,0.05100916098195547,27009,907,0.04529779012470012,800.915,0.04531054241494561,1.2752290245489073e-05,700,169,0.04537519718556845,7.969469591671537e-05,4019857650,OK,27.595455283217778
4000,controlled_null_centering,179.60741363958817,-1.6593397515667054,27010,904,0.04531668834778864,800.2665,0.04490185340989696,-0.0004148349378916771,700,172,0.0449426731706434,-0.00036757224400692196,1559687682,OK,28.332148796267703
4000,controlled_null_centering,181.1250334078401,-0.181240972582768,27011,906,0.04532656859510577,799.894,0.04528125835196007,-4.5310243145691486e-05,709,171,0.04512003987577464,-0.0001997468239740009,1622975273,OK,27.806897883303577
4000,controlled_null_centering,182.061480197674,0.7208167723081393,27012,900,0.04533516585634143,799.5835,0.04551537004941846,0.00018020419307703483,706,161,0.045487423610354225,0.00014858924194573192,1410594206,OK,27.78631043359082
4000,controlled_null_centering,180.6985414828263,-0.592034011620277,27013,892,0.04532264387361167,800.03775,0.04517463537070661,-0.0001480085029050695,695,167,0.04492387786530657,-0.0003876086086225875,1960116076,OK,27.782787760796076
4000,controlled_null_centering,181.265230257216,-0.07718562180608612,27014,901,0.04533560396975564,799.6035,0.04531630756430411,-1.9296405451521183e-05,688,169,0.045361549855775445,3.5073024308118175e-05,1915386408,OK,28.245340103446974
4000,controlled_null_centering,182.0622320813188,0.8184597882566764,27015,889,0.045310943073265525,800.45525,0.0455155580203297,0.00020461494706416872,696,162,0.04550943056181676,0.00019172527161468082,4179602720,OK,28.007643679246137
4000,controlled_null_centering,180.8282466243368,-0.44783781105711684,27016,897,0.0453190211088485,800.166,0.04520706165608423,-0.0001119594527642789,702,172,0.04523711470691255,-7.602301068648588e-05,2986558529,OK,27.866486668932943
4000,controlled_null_centering,181.8174305608686,0.605731928616004,27017,894,0.04530292465806311,800.75025,0.04545435764021711,0.00015143298215400104,703,173,0.04520053180077465,-0.00011054502504729855,3661647198,OK,28.055331941541656
4000,controlled_null_centering,181.7728978190687,0.5063826821383463,27018,889,0.045316628784232565,800.24,0.045443224454767145,0.00012659567053458653,708,166,0.04539136367194988,8.149054047115423e-05,1430066222,OK,27.566163558669817
4000,controlled_null_centering,182.61411675226017,1.3160345522665893,27019,891,0.045324520549998394,799.979,0.045653529188065034,0.00032900863806664747,706,166,0.04575917819872609,0.00042607180609520386,4230155201,OK,27.941559399672403
4000,controlled_null_centering,181.85065121668546,0.5523136430855383,27020,904,0.045324584393399994,799.97275,0.045462662804171376,0.00013807841077138495,699,173,0.04562463164914931,0.000297512505586508,3431199826,OK,27.90362271242964
4000,controlled_null_centering,182.04158297736905,0.765291178466333,27021,918,0.045319072949725606,800.14625,0.04551039574434219,0.00019132279461658253,699,161,0.04541548780275978,8.559690648053938e-05,67425878,OK,27.405540075762254
4000,controlled_null_centering,179.06047296231955,-2.159276003742752,27022,900,0.045304937241515464,800.66325,0.044765118240579764,-0.0005398190009356882,714,163,0.04492306308305545,-0.000373543260275913,3621679590,OK,27.78593824272463
4000,controlled_null_centering,183.7685287813389,2.444309275619139,27023,894,0.04533105487643001,799.7295,0.045942132195334794,0.0006110773189047838,671,167,0.04570456267723421,0.00037726554034288675,3779755519,OK,27.641514847883638
4000,controlled_null_centering,181.00500746913625,-0.33430610851552,27024,901,0.04533482839441295,799.59025,0.04525125186728406,-8.357652712887983e-05,687,168,0.045309415442580804,-3.049984358751044e-05,1809352769,OK,27.46017789964351
4000,controlled_null_centering,180.4352325547207,-0.8899391901849032,27025,921,0.045331292936226564,799.72175,0.04510880813868033,-0.0002224847975462252,698,162,0.04506944271541282,-0.0002613691918439442,779767554,OK,27.596833572772635
4000,controlled_null_centering,181.53484867893445,0.22592483703815236,27026,890,0.04532723096047409,799.854,0.04538371216973363,5.648120925953783e-05,695,164,0.04542470297842625,8.51537282264349e-05,3443272020,OK,27.484004923439702
4000,controlled_null_centering,181.64688652792208,0.36712805799347087,27027,901,0.045319939617482194,800.14475,0.04541172163198057,9.178201449836793e-05,700,172,0.04535564278722081,3.0604333013782444e-05,2825900612,OK,28.095989813466254
4000,controlled_null_centering,179.91544533602064,-1.3768035789532813,27028,903,0.04532306222874338,800.017,0.04497886133400506,-0.0003442008947383209,708,168,0.045054698283499874,-0.00027332553841924933,2995030092,OK,27.54813852121402
4000,controlled_null_centering,182.9761107680904,1.6206450404756338,27029,897,0.04533886643190362,799.437,0.04574402769202254,0.000405161260118908,705,168,0.045644497383824215,0.00030252898184409777,16112119,OK,27.605190501709256
4000,controlled_null_centering,182.03129088533524,0.6623204830216709,27030,902,0.04534224260057832,799.3295,0.04550782272133374,0.0001655801207554173,695,164,0.0454059981112769,6.989600693279625e-05,1780846298,OK,27.652207703865606
