panel,x,metric,mean,ci_lower,ci_upper,aux_metric,aux_value
complementarity,Aggregate,roc_auc,0.6447777777777778,0.6410246892227084,0.6485308663328472,,
complementarity,Co-activity,roc_auc,0.7502276851851852,0.749004811986473,0.7514505583838975,,
complementarity,Combined,roc_auc,0.8946629851851852,0.890947903798001,0.8983780665723693,,
reference_history,60,matched_twin_roc_auc,0.6814666666666668,0.6720243640263287,0.6909089693070048,selected_lambda,20.0
reference_history,90,matched_twin_roc_auc,0.7512000000000001,0.7425403527039796,0.7598596472960206,selected_lambda,20.0
reference_history,120,matched_twin_roc_auc,0.7943999999999999,0.7856414224751749,0.8031585775248249,selected_lambda,20.0
intervention_strength,3,matched_twin_roc_auc,0.2502666666666667,0.2414985792034505,0.25903475412988286,mean_d_cf,-0.04632966460765297
intervention_strength,6,matched_twin_roc_auc,0.6154666666666665,0.6060713270642559,0.6248620062690771,mean_d_cf,0.033186148174469736
intervention_strength,9,matched_twin_roc_auc,0.8986666666666668,0.8930187015426667,0.904314631790667,mean_d_cf,0.20215108206285443
