requested_R_exp,requested_p_on,n_seeds,realized_R_exp_mean,realized_R_exp_ci_lower,realized_R_exp_ci_upper,realized_R_exp_n_finite,realized_R_exp_status,realized_p_on_mean,realized_p_on_ci_lower,realized_p_on_ci_upper,realized_p_on_n_finite,realized_p_on_status,mean_signed_increment_mean,mean_signed_increment_ci_lower,mean_signed_increment_ci_upper,mean_signed_increment_n_finite,mean_signed_increment_status,mean_active_increment_mean,mean_active_increment_ci_lower,mean_active_increment_ci_upper,mean_active_increment_n_finite,mean_active_increment_status,mean_inactive_increment_mean,mean_inactive_increment_ci_lower,mean_inactive_increment_ci_upper,mean_inactive_increment_n_finite,mean_inactive_increment_status,mean_score_gap_mean,mean_score_gap_ci_lower,mean_score_gap_ci_upper,mean_score_gap_n_finite,mean_score_gap_status,frequency_auc_mean,frequency_auc_ci_lower,frequency_auc_ci_upper,frequency_auc_n_finite,frequency_auc_status,score_auc_mean,score_auc_ci_lower,score_auc_ci_upper,score_auc_n_finite,score_auc_status,matched_pair_misordering_mean,matched_pair_misordering_ci_lower,matched_pair_misordering_ci_upper,matched_pair_misordering_n_finite,matched_pair_misordering_status
0.25,0.1,30,0.2505567301493755,0.24606464524595997,0.2550466295252118,30,ok,0.10022500000000001,0.09837479166666664,0.10207499999999999,30,ok,0.0063300935479489616,0.006150999799653511,0.006500004634569993,30,ok,0.06270475697577678,0.062164375862028866,0.06323021239831486,30,ok,5.1452491329350165e-05,-4.558302556393627e-05,0.00014509060951381128,30,ok,1.501882674422635,1.4747610316284974,1.5284595417197342,30,ok,0.0,0.0,0.0,30,ok,0.9999199999999998,0.9998978333333336,0.9999406666666668,30,ok,0.0001,3.3333333333333335e-05,0.00018333333333333334,30,ok
0.25,0.2,30,0.24905851793281333,0.2466198607103347,0.25143048007147273,30,ok,0.19925,0.19733333333333333,0.20115854166666675,30,ok,0.004690402469113205,0.004560966823706609,0.004810819487443135,30,ok,0.023289319432668244,0.02294518761011842,0.023609081050540978,30,ok,6.367541921904341e-05,-4.2299026581144806e-05,0.00016713373346930393,30,ok,0.1780925479433085,0.16513645170532998,0.19074015352684712,30,ok,0.0,0.0,0.0,30,ok,0.7245795000000002,0.7097041958333333,0.7389791729166666,30,ok,0.27276666666666666,0.2572491666666667,0.28818333333333335,30,ok
0.25,0.3,30,0.2510299660781942,0.24893659550361244,0.25307106017419895,30,ok,0.2997416666666667,0.29716666666666663,0.30214187499999995,30,ok,0.0035565607364847094,0.003453952762108689,0.0036547789388887667,30,ok,0.011681902761302468,0.011451802543904373,0.011911287181115175,30,ok,8.04369586665119e-05,-2.584619716344973e-05,0.00018709726863236077,30,ok,-0.09925485373343441,-0.11113406018277994,-0.08694069685253629,30,ok,0.0,0.0,0.0,30,ok,0.36322096083333333,0.34695978827083324,0.3800339443958334,30,ok,0.6362666666666666,0.6187500000000001,0.6527166666666664,30,ok
0.25,0.4,30,0.2499338494728218,0.24827205072600306,0.25154351942414305,30,ok,0.39989999999999987,0.397225,0.40248333333333336,30,ok,0.002812970499293151,0.0027187809846753136,0.002902679752755923,30,ok,0.006877988609013889,0.006700414116168253,0.007067526011790686,30,ok,0.0001051501302721357,-1.3197542039895986e-05,0.00022077101391555982,30,ok,-0.17444036289862877,-0.18581093435745993,-0.1631050350436954,30,ok,0.0,0.0,0.0,30,ok,0.25367558333333334,0.23978870208333336,0.2681150635416667,30,ok,0.7467166666666665,0.7330995833333335,0.7607004166666667,30,ok
0.25,0.5,30,0.25054202941086173,0.24916203164531878,0.25195680598516074,30,ok,0.5010916666666667,0.49826666666666664,0.5039166666666665,30,ok,0.0023312044586258646,0.00223144918539008,0.002427895850263797,30,ok,0.00457256330651635,0.004421698913202209,0.004727933659731177,30,ok,8.10396506782796e-05,-7.331130157350319e-05,0.00022698979661691014,30,ok,-0.18938976749307185,-0.20191702406962678,-0.17655944703966728,30,ok,0.0,0.0,0.0,30,ok,0.22838573333333334,0.21375454583333334,0.2442149633333333,30,ok,0.7725166666666666,0.7569995833333334,0.7869166666666666,30,ok
0.25,0.6,30,0.24824566927458383,0.24719305329164987,0.24933554275027256,30,ok,0.6018166666666666,0.5991666666666667,0.604525,30,ok,0.0019550454458948092,0.0018577106073180598,0.0020500827213789873,30,ok,0.0032096348073684952,0.003083046037103274,0.0033357763892561914,30,ok,5.714287611185439e-05,-9.985959193662257e-05,0.00020764844795580318,30,ok,-0.18501742854523726,-0.19641823968845906,-0.17303903465592316,30,ok,0.0,0.0,0.0,30,ok,0.22550491166666664,0.21091930679166668,0.24033797943749996,30,ok,0.77365,0.7601995833333332,0.7871670833333331,30,ok
0.25,0.7,30,0.2537040438472433,0.2528133505348522,0.2545721708231554,30,ok,0.6998833333333334,0.6973583333333334,0.702275,30,ok,0.0018013033363144552,0.0017142463255624555,0.0018805998203326253,30,ok,0.002561839398337871,0.002461936102918066,0.002658153269888405,30,ok,2.7240046569477245e-05,-0.00013332500256470195,0.00018002397290079746,30,ok,-0.18399817689643197,-0.19381471070571793,-0.17378427223971457,30,ok,0.0,0.0,0.0,30,ok,0.22485221666666666,0.2128650282916667,0.23807668254166667,30,ok,0.77425,0.7601833333333334,0.7867166666666667,30,ok
0.25,0.8,30,0.25031435195648066,0.24957187713112503,0.25108398279608224,30,ok,0.8010166666666666,0.7986331249999998,0.803475,30,ok,0.0015553572277414846,0.0014653865854390555,0.0016438204609684575,30,ok,0.0019303887953936326,0.0018250988766001968,0.002030725289284856,30,ok,4.684368873951099e-05,-0.00014760342103838997,0.00023978870146219164,30,ok,-0.1713359271406095,-0.18140019303118207,-0.1607141671406456,30,ok,0.0,0.0,0.0,30,ok,0.23622022916666668,0.22247223385416667,0.2513762296875,30,ok,0.7651333333333333,0.7512658333333333,0.77823375,30,ok
0.25,0.9,30,0.24776255539021927,0.247287789668166,0.2482456436692079,30,ok,0.9009666666666665,0.8992164583333332,0.9027335416666668,30,ok,0.0013510974724380465,0.0012481112971982494,0.0014488842584514617,30,ok,0.0014863243324413275,0.0013743124707955444,0.0015933070393982474,30,ok,0.00012660269532781997,-9.94072832420072e-05,0.0003374376742308177,30,ok,-0.15709200618498392,-0.1685328566345427,-0.1453535663149366,30,ok,0.0,0.0,0.0,30,ok,0.25397473666666665,0.23858967241666665,0.2707117950833333,30,ok,0.7468333333333332,0.7305833333333334,0.7621999999999998,30,ok
0.25,1.0,30,0.2499967680935749,0.24993957139276068,0.25005325089806657,30,ok,1.0,1.0,1.0,30,ok,0.001261319848782833,0.0011688649748449673,0.0013532885029685553,30,ok,0.001261319848782833,0.0011686606943071564,0.0013513042846032186,30,ok,,,,0,not_applicable,-0.15111689963434988,-0.162022332450341,-0.14006294431188268,30,ok,0.0,0.0,0.0,30,ok,0.2608644833333333,0.2465002366666667,0.2762239262499999,30,ok,0.7380999999999999,0.7239500000000002,0.7518833333333333,30,ok
