role,predictive_signed_mean,plugin_signed_mean
calibration_1,0.04216849806747677,0.06086456403861959
calibration_2,0.05738053874604418,0.07607660471718698
holdout_1,0.09583661995080951,0.11453268592195234
holdout_2,0.11214897442389861,0.1308450403950414
