panel,x,metric,mean,ci_lower,ci_upper
a_reuse,1,score_auc,0.4997748883437735,0.49975883804064325,0.4997909386469037
a_reuse,1,frequency_auc,0.498294460959986,0.4982409521659331,0.49834796975403883
a_reuse,1,coalition_mean_score,0.07635742143375306,0.07367436801569235,0.07904047485181376
a_reuse,2,score_auc,0.5618403029634398,0.5595664138262342,0.5641141921006454
a_reuse,2,frequency_auc,0.9982805231498607,0.9982257593391393,0.9983352869605822
a_reuse,2,coalition_mean_score,0.1527148428675061,0.1473487360313847,0.15808094970362752
a_reuse,4,score_auc,0.6263578185872887,0.6218569045065164,0.6308587326680609
a_reuse,4,frequency_auc,0.9999996516747477,0.9999989392696168,1.0000003640798785
a_reuse,4,coalition_mean_score,0.3054296857350122,0.2946974720627694,0.31616189940725503
a_reuse,8,score_auc,0.7055070825608974,0.6968997507405731,0.7141144143812218
a_reuse,8,frequency_auc,1.0,1.0,1.0
a_reuse,8,coalition_mean_score,0.6108593714700244,0.5893949441255388,0.6323237988145101
a_reuse,16,score_auc,0.7967051272867719,0.7843772266484252,0.8090330279251186
a_reuse,16,frequency_auc,1.0,1.0,1.0
a_reuse,16,coalition_mean_score,1.221718742940049,1.1787898882510777,1.2646475976290201
b_matched,Frequency,auc,0.5,0.5,0.5
b_matched,Counterfactual,auc,0.7436000000000001,0.7317846970101424,0.7554153029898579
b_matched,Raw world,auc,0.7476922666666667,0.7398815138105869,0.7555030195227465
b_matched,Predictive,auc,0.7550266666666666,0.7470150812809427,0.7630382520523905
c_shape,Frequency,auc,0.5,0.5,0.5
c_shape,Mean,auc,0.5,0.5,0.5
c_shape,W1,auc,0.9090666666666667,0.902094702182069,0.9160386311512644
c_shape,JS,auc,0.9665333333333332,0.9621569732736909,0.9709096933929756
