lambda,raw_mean,plugin_signed_mean,plugin_abs_mean,plugin_positive_fraction,predictive_signed_mean,predictive_abs_mean,predictive_positive_fraction
0.0,0.26495423560661824,0.07500313500310762,0.07500313500310762,0.5839120555573335,0.05411228845520279,0.05411228845520279,0.5186737926840976
5.0,0.2641510419592015,0.07190603920212241,0.07190603920212241,0.5725509648926297,0.0516179249603981,0.0516179249603981,0.5096809293692195
10.0,0.2638229421241333,0.0699884894153327,0.0699884894153327,0.5654462828431529,0.05025075865063148,0.05025075865063148,0.5041764009344897
20.0,0.26463238550106377,0.06847058437790328,0.06847058437790328,0.559733734438506,0.049774518406760476,0.049774518406760476,0.5012801228917976
40.0,0.2698936363994338,0.07063130866716687,0.07063130866716687,0.5623579863666912,0.05381433115646916,0.05381433115646916,0.51208115979134
80.0,0.28468625333761627,0.08198966056001476,0.08198966056001476,0.5827439434185682,0.06811427470092477,0.06811427470092477,0.5431081383812846
160.0,0.3105992492680687,0.10474521922992594,0.10474521922992594,0.620347553365123,0.09456477706051178,0.09456477706051178,0.5934969757096681
