panel,x,metric,mean,ci_lower,ci_upper,aux_metric,aux_value
complementarity,Aggregate,roc_auc,0.6238666666666666,0.6200887126449106,0.6276446206884225,,
complementarity,Co-activity,roc_auc,0.7502276851851852,0.749004811986473,0.7514505583838975,,
complementarity,Combined,roc_auc,0.8737004111111111,0.870007930772748,0.8773928914494742,,
reference_history,60,matched_twin_roc_auc,0.6182666666666666,0.6066593727064108,0.6298739606269225,selected_lambda,20.0
reference_history,90,matched_twin_roc_auc,0.6878666666666666,0.6765629073473468,0.6991704259859864,selected_lambda,20.0
reference_history,120,matched_twin_roc_auc,0.7436000000000001,0.7317846970101424,0.7554153029898579,selected_lambda,20.0
intervention_strength,3,matched_twin_roc_auc,0.18173333333333333,0.17281734138377983,0.19064932528288683,mean_d_cf,-0.062491012629934076
intervention_strength,6,matched_twin_roc_auc,0.514,0.5033604667362337,0.5246395332637663,mean_d_cf,0.0005955420706549051
intervention_strength,9,matched_twin_roc_auc,0.8380000000000003,0.8293017952669691,0.8466982047330315,mean_d_cf,0.16044679871023498
