horizon,raw_mean,raw_ci_lower,raw_ci_upper,centered_mean,centered_ci_lower,centered_ci_upper
66,3.019549488007804,2.9728975,3.0666547,0.030090163280299467,-0.015341315,0.0767984
67,3.069597224325811,3.0217335,3.117598,0.034755396727312586,-0.011346112,0.083144516
68,3.1110376920626805,3.06257,3.1593056,0.03101354836115202,-0.015094403,0.07923198
69,3.1601017645446223,3.11217,3.2076135,0.034615344607423104,-0.011664755,0.082507566
70,3.207630540486325,3.1611645,3.2536511,0.03667222037893479,-0.009121014,0.08275324
71,3.2511044170735244,3.2048814,3.2970932,0.03464804855120132,-0.010389541,0.08038005
72,3.2951134441997945,3.2498016,3.340718,0.033251148883888755,-0.010679906,0.07851139
73,3.339679807756918,3.2939863,3.3860586,0.032329702175512114,-0.012204758,0.07799843
74,3.3861749186076557,3.338646,3.4346614,0.0333275469710236,-0.012179735,0.08093478
75,3.4323159176005857,3.3854194,3.4798317,0.03402749678973005,-0.011679998,0.08127424
76,3.4772141080064114,3.4312367,3.523959,0.033795994274846725,-0.011193464,0.08017299
77,3.5222763253937375,3.4764807,3.568745,0.03378861666282655,-0.010903645,0.08014158
78,3.569073302617922,3.522123,3.616753,0.035316699014139814,-0.009931867,0.08288914
79,3.6158621235302624,3.568919,3.663605,0.03691260328864686,-0.00930013,0.08507924
80,3.66125580014038,3.6153865,3.708378,0.036810243340924836,-0.008140431,0.08401362
81,3.7067779709328827,3.6606016,3.7542624,0.03711081702962159,-0.0078195715,0.08411923
82,3.7533314895997925,3.7068226,3.8013504,0.03815369010443271,-0.007514063,0.08544166
83,3.799630997943886,3.7508864,3.8494055,0.03917093174704488,-0.0083719175,0.088649
84,3.8453884098022404,3.7946806,3.8980432,0.039335813077368095,-0.010143083,0.0913776
85,3.893113350771513,3.8434544,3.9445863,0.04174768010285108,-0.0073681823,0.093227826
86,3.9397373129137647,3.888924,3.9915392,0.042749200669605594,-0.0069132815,0.09514409
87,3.988695865929208,3.9371789,4.0412855,0.04641796928169219,-0.0041756253,0.09997145
88,4.037696358454115,3.985395,4.091233,0.04983252448413622,-0.0016684147,0.10386643
89,4.079060670025532,4.026391,4.132195,0.04615990494816788,-0.004989796,0.09957201
90,4.1209588759695475,4.0686307,4.173409,0.04272580442716191,-0.0072987694,0.095403895
91,4.165151431085539,4.112891,4.2177997,0.04184148936912582,-0.008422967,0.09433966
92,4.209939499005918,4.1569343,4.262868,0.04129941752101571,-0.009882856,0.09438126
93,4.253174277897371,4.1990786,4.3070583,0.0394681368628499,-0.013138319,0.09350919
94,4.302353390157624,4.2475348,4.3567586,0.04322130047050097,-0.010093919,0.09742416
95,4.345407401798268,4.290528,4.399939,0.04103196571612758,-0.012722792,0.094835386
96,4.39011640446834,4.3354235,4.4440536,0.04033299085780335,-0.013030181,0.0938798
97,4.435650984503005,4.3791337,4.4918222,0.04043217380826365,-0.014334312,0.09625771
98,4.48154397645491,4.4243007,4.5384583,0.04117077652183597,-0.014395233,0.09733767
99,4.5206786869967415,4.463996,4.576927,0.03531080264995454,-0.020324139,0.09066506
100,4.571013854954569,4.513121,4.6288376,0.040232026558744284,-0.01642833,0.09710147
101,4.613622371025342,4.554506,4.673118,0.037824531322014264,-0.020198928,0.09592661
102,4.6561431534494515,4.596475,4.715907,0.03478484800257597,-0.023317767,0.09271332
103,4.699696584002186,4.639797,4.7595267,0.03305278082263351,-0.02519368,0.091637835
104,4.741565415935246,4.6817193,4.801631,0.029909862217923643,-0.028801955,0.08886572
105,4.785540135655248,4.7261553,4.8442726,0.028730361048095183,-0.028680477,0.08649639
106,4.8292094431434,4.7686133,4.8891478,0.027094257256143013,-0.031978346,0.08608616
107,4.87065410767896,4.8089128,4.9310236,0.0231094969028666,-0.03735908,0.08324482
108,4.916417033397794,4.853008,4.979227,0.02338692060468261,-0.038873117,0.08594372
109,4.963342437146074,4.900221,5.026415,0.025002363697348474,-0.038211543,0.08626245
110,5.01373944471271,4.9490547,5.077663,0.029937444201487574,-0.03505581,0.093759604
111,5.0587266023033965,4.9934583,5.1228476,0.029454410300765718,-0.036160864,0.09310336
112,5.107347092384619,5.0437174,5.1695237,0.03283611460963718,-0.030307949,0.09427457
113,5.144991801824005,5.082066,5.207034,0.024783972681978742,-0.037415497,0.08574346
114,5.190363117777095,5.1274414,5.25253,0.02461270730813781,-0.03817019,0.085499465
115,5.242729916996483,5.1816096,5.3041754,0.031712485214610196,-0.02904286,0.091813415
116,5.290172110942635,5.228259,5.3511944,0.0336862432732933,-0.027095797,0.09397733
117,5.3351560652253,5.2716556,5.398099,0.03335052377490628,-0.02874792,0.095758036
118,5.380544338334398,5.318253,5.442661,0.03338756536221968,-0.027763065,0.095257126
119,5.422744778761876,5.359272,5.4858303,0.03024098657418716,-0.032304887,0.09304147
120,5.470241452807783,5.40737,5.5342736,0.03240090830800158,-0.03035146,0.096447706
121,5.515689728516363,5.450209,5.582675,0.03282369902784355,-0.03247304,0.10023802
122,5.563962433382896,5.4988065,5.630509,0.03575897445388496,-0.029224733,0.10254371
123,5.604332784923934,5.5391808,5.670636,0.031032070833714356,-0.033452813,0.097754285
124,5.642684624508119,5.5766315,5.709855,0.023980258828828482,-0.041286405,0.09149854
125,5.6861007318445695,5.618491,5.7563195,0.022132651830699134,-0.044607166,0.0916804
126,5.7361131002275165,5.667555,5.8056703,0.02682010074198573,-0.04069235,0.0964691
127,5.780607246336121,5.710943,5.851518,0.02589057130162228,-0.04332976,0.097132914
