horizon,empirical_gap_mean,empirical_gap_ci_lower,empirical_gap_ci_upper,predicted_gap_mean,predicted_gap_ci_lower,predicted_gap_ci_upper,pair_error_mean,pair_error_ci_lower,pair_error_ci_upper
47,0.22110778899357716,0.19906951,0.24317728,0.19648020583837222,0.19554894,0.19745669,0.0419,0.033333335,0.05143375
48,0.2257250751630176,0.20356105,0.24785402,0.20066063574982695,0.19970955,0.20165789,0.039416666666666676,0.0313,0.0487
49,0.23160976819926235,0.20845972,0.25458428,0.20484106566128168,0.20387016,0.2058591,0.03826666666666667,0.02991625,0.0479
50,0.2360179192186899,0.21413042,0.25786304,0.20902149557273642,0.20803079,0.2100603,0.03726666666666667,0.029216666,0.046516668
51,0.2387573363357216,0.21721788,0.26037523,0.21320192548419106,0.2121914,0.2142615,0.03665,0.029049583,0.04528375
52,0.24225510999134253,0.22066608,0.26356986,0.21738235539564585,0.21635202,0.21846272,0.03558333333333333,0.028466666,0.04365
53,0.24784284897502423,0.22612706,0.26977482,0.22156278530710058,0.22051263,0.22266392,0.03398333333333334,0.02686625,0.042066667
54,0.2518013191026678,0.22891526,0.27518895,0.2257432152185553,0.22467326,0.22686513,0.033016666666666666,0.025616666,0.04135
55,0.25845684175441247,0.23558235,0.28130028,0.22992364513001007,0.22883387,0.23106633,0.029949999999999994,0.023416666,0.037583333
56,0.2622365375372537,0.23889966,0.28557903,0.23410407504146483,0.23299448,0.23526753,0.02948333333333333,0.02305,0.03708333
57,0.26637482592337375,0.24230343,0.29027387,0.23828450495291947,0.2371551,0.23946874,0.028999999999999995,0.022483334,0.036667082
58,0.27039183773120873,0.24645628,0.29399404,0.2424649348643742,0.24131571,0.24366996,0.028900000000000002,0.022283332,0.03663417
59,0.27569704295717545,0.25256988,0.29865038,0.2466453647758289,0.24547634,0.24787116,0.02665,0.021266667,0.032366667
60,0.2817427143848912,0.25812292,0.3048582,0.25082579468728367,0.24963695,0.25207236,0.02615,0.020766249,0.031833332
61,0.2854312241175847,0.26239616,0.307847,0.25500622459873834,0.25379756,0.25627357,0.025216666666666665,0.020083332,0.030650416
62,0.288463594628661,0.2653686,0.3111112,0.25918665451019307,0.25795817,0.2604748,0.02493333333333333,0.01991625,0.030316666
63,0.29608715079835657,0.27142853,0.3198459,0.2633670844216479,0.2621188,0.264676,0.022900000000000007,0.01806625,0.028216667
64,0.30058602707153115,0.27578154,0.3244224,0.2675475143331026,0.2662794,0.2688772,0.02111666666666667,0.01655,0.02615
65,0.3025744006684133,0.27773893,0.32650325,0.2717279442445574,0.27044,0.2730784,0.020950000000000007,0.016399583,0.026
66,0.3063265711190162,0.280804,0.33099648,0.27590837415601205,0.27460063,0.27727962,0.01963333333333334,0.015116666,0.024816666
67,0.3112636826303005,0.28538868,0.33643863,0.2800888040674668,0.27876124,0.28148082,0.019050000000000004,0.014683333,0.024150418
68,0.3163012475689422,0.2899391,0.34209985,0.28426923397892145,0.28292185,0.28568202,0.019216666666666674,0.014816667,0.024333334
69,0.3193659347308523,0.2924699,0.34596938,0.28844966389037624,0.28708246,0.28988323,0.018733333333333334,0.0144,0.02363375
70,0.3223517647150565,0.29538152,0.3489906,0.2926300938018309,0.29124308,0.29408443,0.018683333333333333,0.0143,0.023716666
71,0.32749005478804155,0.30013245,0.35439086,0.29681052371328565,0.29540372,0.29828563,0.018050000000000004,0.013666667,0.023150418
72,0.3304914589476418,0.30386233,0.35653222,0.3009909536247404,0.29956433,0.30248684,0.017150000000000006,0.01295,0.022116667
73,0.33558380036218677,0.3090403,0.36166865,0.3051713835361952,0.30372494,0.30668804,0.01653333333333334,0.01255,0.021366667
74,0.3397326027699894,0.31298545,0.36580747,0.3093518134476499,0.30788556,0.31088924,0.016166666666666673,0.012233334,0.020983333
75,0.3429309353060516,0.3160523,0.3695558,0.3135322433591046,0.31204617,0.31509045,0.01618333333333334,0.012183334,0.021066668
76,0.3450124936073288,0.3183827,0.37143293,0.31771267327055935,0.31620678,0.31929168,0.015966666666666674,0.011966666,0.020850418
77,0.34939113423033863,0.3219376,0.37656048,0.32189310318201403,0.3203674,0.32349288,0.015283333333333336,0.011466667,0.020066667
78,0.3557300490314794,0.32739753,0.38407302,0.32607353309346876,0.324528,0.3276941,0.01421666666666667,0.010483333,0.0189
79,0.35963042448362625,0.33114204,0.3881648,0.3302539630049235,0.32868862,0.3318953,0.013933333333333337,0.010383333,0.0185
80,0.36467624993240005,0.33549476,0.3936298,0.3344343929163782,0.33284926,0.3360965,0.013483333333333338,0.009866667,0.018133333
81,0.3688571592941481,0.33863196,0.39832067,0.33861482282783295,0.33700988,0.3402977,0.013416666666666672,0.009783333,0.018050417
82,0.37124418048968627,0.34091917,0.40137622,0.34279525273928774,0.3411705,0.3444989,0.013066666666666673,0.0094,0.0177
83,0.3761073256245294,0.34442946,0.40767214,0.3469756826507424,0.3453311,0.3487001,0.01251666666666667,0.008933334,0.017116666
84,0.3821217960829112,0.35055828,0.41361943,0.35115611256219714,0.34949172,0.3529013,0.011233333333333336,0.008549584,0.014166667
85,0.3867294353930545,0.35576028,0.4175673,0.35533654247365193,0.35365233,0.3571025,0.01061666666666667,0.008066666,0.013466666
86,0.3902373017772848,0.35884506,0.42174166,0.3595169723851066,0.35781294,0.36130372,0.010366666666666668,0.0078,0.0132
87,0.3926180674914773,0.3609851,0.42404342,0.3636974022965613,0.36197355,0.36550492,0.010200000000000002,0.0076829167,0.013016666
88,0.3982353539979155,0.36695433,0.42969355,0.36787783220801595,0.36613417,0.36970612,0.010000000000000002,0.0073833335,0.013083333
89,0.40124972431234435,0.36971694,0.43238577,0.37205826211947074,0.3702948,0.37390736,0.009600000000000003,0.0070833336,0.012566667
